id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1221702899560636266,Double room Close to tramline,548715048,James,,South Dublin,53.28354,-6.43109,Private room,41,1,13,2025-01-22,2.57,4,266,13,
1221703651675434772,"Flat Dublin 8
Phoenix park",595728732,Neylor,,Dublin City,53.3421066,-6.3134898,Entire home/apt,163,2,0,,,1,325,0,
1221798275970592551,Charming Cottage in the Heart of Dublin City,6970359,Andrew,,Dublin City,53.350022467335734,-6.273585215060677,Entire home/apt,131,15,6,2025-03-06,1.14,1,0,6,
1221825097013934212,"Your home in 
Dublin 12",43101208,Alfredo,,Dublin City,53.32844429255143,-6.301441851971516,Entire home/apt,68,3,8,2025-03-02,1.26,1,66,8,
1221837707148795766,Golden Sparrow’s next Dublin 15,37430595,Jomin,,Fingal,53.37516323098265,-6.3916994529679005,Private room,66,2,1,2024-12-29,0.43,1,84,1,
1232588108847165615,"The Old Distillery, Dublin City",598562270,Simon,,Dublin City,53.34832827335939,-6.27408056450479,Entire home/apt,206,3,24,2025-03-02,4.19,2,163,24,
1232626438838538834,Wonderful D3 Townhouse-3 Bedroom & 3 bath/ Parking,492109525,Martin,,Dublin City,53.37116742509931,-6.206455071953925,Entire home/apt,313,1,10,2025-03-01,1.75,4,203,10,
1232765198365113188,City Retreat Close to O Connell Street,503186943,Eamonn,,Dublin City,53.355959148165034,-6.2694946076540745,Entire home/apt,181,2,7,2025-02-23,3.28,1,16,7,
1232808534962597130,New! Stunning City Apt - Walk Everywhere !,41947241,Paul,,Dublin City,53.34143,-6.2957,Entire home/apt,114,2,22,2025-02-15,3.55,9,280,22,
1232831721530473525,From city center 10min by walk.,598636849,Sukhbat,,Dublin City,53.34796,-6.27291,Private room,120,1,1,2024-09-04,0.16,1,191,1,
1233152913542206336,4 Bedroom 2 Bathroom Apt,177833932,Anna,,Dublin City,53.34221040900413,-6.264914660147944,Entire home/apt,1000,3,1,2024-09-03,0.16,17,5,1,
1233279464721868779,Private Twin Room 10 minutes from the airport,48474202,Patricia,,Fingal,53.45879,-6.23105,Private room,80,1,26,2024-11-25,4.13,2,121,26,
1233281111469695707,Irish House,529026425,Giulianna,,Dublin City,53.35285718668751,-6.2336220664224955,Private room,72,1,15,2025-02-02,2.46,1,6,15,
1233338315521647821,Stylish Apartment in Dublin City,598757433,Jack,,Dublin City,53.33852124956954,-6.281099733615321,Entire home/apt,160,3,2,2024-09-22,0.35,1,98,2,
1233425018934401229,-En-suite BedroomTo let -,598784585,Ghulam,,Dublin City,53.349685162947445,-6.280093447267214,Private room,100,1,3,2024-10-28,0.49,1,0,3,
1233980358825767924,Cozy room in the heart of Dublin,568362455,Aanya,,Dublin City,53.35602,-6.25116,Private room,53,1,38,2025-03-03,6.20,1,189,38,
1234055209281900537,Beautiful room to let,598932686,Colette,,South Dublin,53.32203029999999,-6.4237499,Private room,270,1,0,,,1,358,0,
1234098095264971867,Cozy Apartment D6,70154490,R Gar And G,,Dublin City,53.31496,-6.27212,Entire home/apt,195,14,1,2024-09-01,0.16,62,365,1,
1234136360065319419,Entire rental unit - Grand Canal,598959008,Dana,,Dublin City,53.3418,-6.23897,Entire home/apt,148,6,3,2025-01-02,0.51,1,24,3,
1234568331944703250,20 minutes walk from city centre,599054888,Serchin,,Dublin City,53.34095,-6.22637,Private room,108,1,0,,,1,1,0,
1234607018950041866,Luxury Apartment Central Dublin!,36790457,Daniel,,Dublin City,53.34395,-6.24786,Entire home/apt,144,14,3,2024-12-21,0.51,8,361,3,
1234684882756083997,Near to the shopping centres,599079018,Baterdene,,Fingal,53.40053,-6.39002,Private room,110,1,0,,,1,188,0,
1234902309079591977,Family Home in Dublin 16,56505258,Orla,,South Dublin,53.2865,-6.31863,Entire home/apt,203,6,0,,,1,203,0,
1235310872185334648,Modern oasis with best location,103418465,Julia,,Dublin City,53.345927766145834,-6.238713302262894,Private room,171,1,1,2024-10-13,0.21,1,274,1,
